model,config,seed,cv_accuracy,test_accuracy,balanced_accuracy,macro_f1,roc_auc_ovr,ece,recall_normal,recall_suspect,recall_pathological
RF,A — Correct,0,0.9358823529411765,0.9413145539906104,0.8990091115065589,0.8972547924102084,0.984355649041652,0.028251173708920174,0.963855421686747,0.847457627118644,0.8857142857142857
RF,B — +L4,0,0.9358823529411765,0.9436619718309859,0.9085329210303684,0.9069166281590006,0.985529632053133,0.02815858111632759,0.963855421686747,0.847457627118644,0.9142857142857143
RF,C — +L1+L4,0,0.975577840089983,0.9697885196374623,0.9691942089277973,0.9692210978525401,0.9974888039529173,0.023588884093415818,0.9579579579579579,0.9525316455696202,0.997093023255814
RF,D — Full naive,0,0.9780463242698894,0.9697885196374623,0.9691942089277973,0.9692210978525401,0.9974888039529173,0.023588884093415818,0.9579579579579579,0.9525316455696202,0.997093023255814
RF,A — Correct,1,0.9311764705882354,0.9436619718309859,0.9294465999591587,0.9198230706553371,0.9888473147057416,0.03825978090766822,0.9578313253012049,0.8305084745762712,1.0
RF,B — +L4,1,0.9329411764705883,0.9483568075117371,0.9314546320876728,0.925404092107887,0.989925982742515,0.03617344809598332,0.963855421686747,0.8305084745762712,1.0
RF,C — +L1+L4,1,0.9758300461004705,0.9778449144008057,0.9782899714801233,0.9781112120719468,0.998875251059435,0.029157435381000324,0.9710144927536232,0.963855421686747,1.0
RF,D — Full naive,1,0.9788519637462235,0.9778449144008057,0.9782899714801233,0.9781112120719468,0.998875251059435,0.029157435381000324,0.9710144927536232,0.963855421686747,1.0
RF,A — Correct,2,0.9341176470588236,0.9460093896713615,0.917285121113996,0.9214933674150988,0.9872781072321389,0.035898539384454836,0.9668674698795181,0.8135593220338984,0.9714285714285714
RF,B — +L4,2,0.9364705882352942,0.9389671361502347,0.8964618765619378,0.9082565092937857,0.9874482543630161,0.03770474700052163,0.9668674698795181,0.7796610169491526,0.9428571428571428
RF,C — +L1+L4,2,0.9740712577032145,0.9768378650553877,0.9764211549814217,0.9764540070252151,0.9990310135391134,0.026104845026295176,0.9637462235649547,0.9655172413793104,1.0
RF,D — Full naive,2,0.9774420946626383,0.9768378650553877,0.9764211549814217,0.9764540070252151,0.9990310135391134,0.026104845026295176,0.9637462235649547,0.9655172413793104,1.0
RF,A — Correct,3,0.9411764705882353,0.9272300469483568,0.865110806421813,0.8722305513909712,0.981053951208367,0.027110067814293162,0.963855421686747,0.7457627118644068,0.8857142857142857
RF,B — +L4,3,0.9411764705882353,0.9248826291079812,0.8602326983478709,0.867674254513736,0.9826121109792424,0.02906937923839335,0.9608433734939759,0.7627118644067796,0.8571428571428571
RF,C — +L1+L4,3,0.9733095702042045,0.9778449144008057,0.9780684364550573,0.9780286364924268,0.9989471932421564,0.026684569766140767,0.9636363636363636,0.9736842105263158,0.9968847352024922
RF,D — Full naive,3,0.9798590130916416,0.9778449144008057,0.9780684364550573,0.9780286364924268,0.9989471932421564,0.026684569766140767,0.9636363636363636,0.9736842105263158,0.9968847352024922
RF,A — Correct,4,0.9382352941176471,0.9530516431924883,0.9295885722065016,0.9217870680123775,0.9924641907389317,0.039287949921752705,0.9698795180722891,0.847457627118644,0.9714285714285714
RF,B — +L4,4,0.9388235294117647,0.9530516431924883,0.9249428707566344,0.920871309269495,0.9920406335996059,0.03304512258737611,0.9728915662650602,0.8305084745762712,0.9714285714285714
RF,C — +L1+L4,4,0.9780964149359187,0.9707955689828801,0.9704497899671735,0.9704069738926822,0.9987086566738231,0.024605572339711293,0.956268221574344,0.9609120521172638,0.9941690962099126
RF,D — Full naive,4,0.9768378650553877,0.9707955689828801,0.9704497899671735,0.9704069738926822,0.9987086566738231,0.024605572339711293,0.956268221574344,0.9609120521172638,0.9941690962099126
RF,A — Correct,5,0.9376470588235295,0.9483568075117371,0.9105409531588825,0.9086547439488616,0.9879451408183599,0.03186228482003132,0.9698795180722891,0.847457627118644,0.9142857142857143
RF,B — +L4,5,0.9370588235294118,0.9413145539906104,0.9075289049661114,0.8964047058372858,0.9823151017629804,0.03511737089201877,0.9608433734939759,0.847457627118644,0.9142857142857143
RF,C — +L1+L4,5,0.9753269014463826,0.9778449144008057,0.9776273420113636,0.9776170253263353,0.9985360039117381,0.02715116929618441,0.9637462235649547,0.9691358024691358,1.0
RF,D — Full naive,5,0.9782477341389729,0.9778449144008057,0.9776273420113636,0.9776170253263353,0.9985360039117381,0.02715116929618441,0.9637462235649547,0.9691358024691358,1.0
RF,A — Correct,6,0.9423529411764706,0.9225352112676056,0.8855596721024533,0.8696588335746371,0.9846004254913003,0.03723004694835681,0.9457831325301205,0.7966101694915254,0.9142857142857143
RF,B — +L4,6,0.941764705882353,0.9225352112676056,0.8902053735523207,0.8670259535275361,0.9857203266853096,0.034467918622848204,0.9427710843373494,0.8135593220338984,0.9142857142857143
RF,C — +L1+L4,6,0.9745677486811463,0.9838872104733132,0.9838858867630593,0.9838763760566999,0.9988391292168429,0.031114579836634224,0.975609756097561,0.9760479041916168,1.0
RF,D — Full naive,6,0.9770392749244714,0.9838872104733132,0.9838858867630593,0.9838763760566999,0.9988391292168429,0.031114579836634224,0.975609756097561,0.9760479041916168,1.0
RF,A — Correct,7,0.9423529411764706,0.9295774647887324,0.8846976282855392,0.8904304717578277,0.9770562098390106,0.033098591549295765,0.9548192771084337,0.8135593220338984,0.8857142857142857
RF,B — +L4,7,0.9394117647058824,0.9295774647887324,0.8893433297354064,0.8889829639680386,0.9783324789398157,0.03270735524256652,0.9518072289156626,0.8305084745762712,0.8857142857142857
RF,C — +L1+L4,7,0.9785992427482849,0.9808660624370594,0.9805191910960601,0.9806280138246443,0.9978418627179194,0.028492782813024503,0.9676375404530745,0.976878612716763,0.9970414201183432
RF,D — Full naive,7,0.9780463242698891,0.9808660624370594,0.9805191910960601,0.9806280138246443,0.9978418627179194,0.028492782813024503,0.9676375404530745,0.976878612716763,0.9970414201183432
RF,A — Correct,8,0.9382352941176471,0.9507042253521126,0.9278129467020625,0.9154472735054046,0.9868050300800983,0.0338641105894627,0.9698795180722891,0.8135593220338984,1.0
